row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENST00000002596.6	14.9267293213561	-4.34109346583456	1.01376275104828	-4.28215917515776	1.85088499574246e-05	0.000990095531363061
ENST00000005178.6	159.406990202454	-2.74381470199376	0.393558242823327	-6.97181358039931	3.12880983546356e-12	9.81600664055703e-10
ENST00000027335.8	24.2846717916355	-6.11917838991259	1.13974383851506	-5.36890675178826	7.92153614198773e-08	8.79934847236302e-06
ENST00000084798.9	223.432842281038	-2.62670832079996	0.421304880052084	-6.23469711643319	4.52653031454429e-10	8.840157028103e-08
ENST00000157600.8	415.579815959119	1.34071474009306	0.362520658715468	3.69831265573572	0.000217037451502672	0.00724998773249789
ENST00000193391.8	10.4809974434488	5.06761222581488	1.32303200031346	3.8303020823489	0.000127986040700948	0.00483244014347219
ENST00000196371.10	501.51009228467	2.12478625428395	0.26030956231516	8.16253631017768	3.28061914910482e-16	1.77122916664227e-13
ENST00000199448.9	1680.06890440287	-1.01307036115285	0.241837845928711	-4.18904806756956	2.80127065209248e-05	0.0014046284980341
ENST00000199764.7	9.83376559524354	-6.68601219312307	1.45826228301929	-4.58491745345006	4.54165827890279e-06	0.000309205685052807
ENST00000216127.5	322.785042260998	2.04123193204628	0.365785646795481	5.58040467122969	2.39959639976848e-08	3.02766467483832e-06
ENST00000216513.5	136.389140121262	-1.48758961777509	0.292490720757832	-5.08593781683331	3.65813903727924e-07	3.49495291726234e-05
ENST00000217043.4	18.0349225737571	-4.05603929367396	0.833201992464107	-4.86801439549928	1.12725120693915e-06	9.11855889209034e-05
ENST00000222120.8	223.422803434686	-1.02040179323868	0.281636633193713	-3.62311458444697	0.000291076797659946	0.00898622198733152
ENST00000222374.3	345.962131588763	-1.35875141865137	0.342161496013987	-3.97108217751019	7.15468926642405e-05	0.00306161570180329
ENST00000222644.10	330.557040621678	-1.07864418117149	0.236004395559881	-4.57044106578009	4.86698781552819e-06	0.000327513011957398
ENST00000223095.5	53658.5406255319	1.66150851844237	0.321129872994848	5.17394567795014	2.29201486161152e-07	2.31353987074665e-05
ENST00000223864.7	492.072494545688	1.43191261942899	0.276701867627112	5.1749293624525	2.27997222442593e-07	2.31143384988089e-05
ENST00000227155.9	147.124939121637	3.84855239394327	0.877494228218435	4.38584354196487	1.15537149053215e-05	0.000665585720203337
ENST00000230895.11	2405.2622698362	1.01886055806648	0.237866785937536	4.2833241894227	1.84121594377667e-05	0.000989483086822203
ENST00000230990.7	221.380385923482	2.25381751569105	0.323721733137282	6.96220637968494	3.34984270934656e-12	1.03693264453586e-09
ENST00000237172.12	8.63346996170585	-6.49977819258017	1.43919995120118	-4.51624403346829	6.29461213340367e-06	0.000404808075593073
ENST00000237853.9	1611.77845379782	1.25364348474383	0.204343279206069	6.13498760328496	8.51658350609858e-10	1.59452421514181e-07
ENST00000242728.5	111.461427386366	3.83068667417238	0.479740247719598	7.98491828105147	1.40615426835946e-15	6.80109947796525e-13
ENST00000243077.8	2183.22107526575	1.30307617700857	0.317746692724204	4.10099052750679	4.11385401871435e-05	0.00192167474644814
ENST00000243346.10	724.358955035919	1.19409671651318	0.23218352583505	5.1429002648599	2.70529256738772e-07	2.67259881891376e-05
ENST00000244565.8	52.8211137735449	-1.54783297281574	0.413215845431983	-3.74582192315886	0.000179804107800507	0.00630563771404317
ENST00000248071.6	83.8284023643237	1.97068277747282	0.345501170891491	5.7038382023074	1.17139273532219e-08	1.62844633193054e-06
ENST00000250160.11	45.1914582552253	-2.94303251662411	0.566195969958948	-5.19790438783501	2.01547742053966e-07	2.07041255731189e-05
ENST00000254958.10	2641.4699957621	-2.08458047424139	0.246252683102076	-8.46520918262361	2.55693356972051e-17	1.64893804873976e-14
ENST00000256640.9	8.67618601477727	4.17963931417471	1.14998199478544	3.63452587355903	0.000278492309485032	0.00866685986193633
ENST00000256951.10	492.36528279842	1.31256368019191	0.240807111586492	5.45068487198921	5.01762121323544e-08	5.91315198408497e-06
ENST00000257527.9	486.224714460793	2.00112319835118	0.355206926932674	5.63368292288533	1.76401221305033e-08	2.31374618859755e-06
ENST00000258456.3	14.0430407142695	4.1273447528888	1.02562474526756	4.02422501205552	5.71632434731046e-05	0.00253263713830457
ENST00000259526.4	85.3863210113088	2.68944198484931	0.460362821845442	5.84200516902782	5.15762057226368e-09	7.77528046790088e-07
ENST00000259939.4	78.928004381989	2.4877509317217	0.474210775817767	5.24608688495453	1.55363655762354e-07	1.63209168876869e-05
ENST00000260197.12	90.6227396098175	-3.99996921325103	0.435141666224996	-9.19233786079861	3.84394562551093e-20	3.88004528877659e-17
ENST00000260227.5	15.552566648473	-3.62246957011404	0.908161290746155	-3.98879539023049	6.64096709937669e-05	0.00287107434225566
ENST00000260356.6	8334.30167744437	1.99677209803142	0.282965424890593	7.05659392416391	1.70633321726391e-12	5.81480818780322e-10
ENST00000261483.5	2269.9010867238	1.07471731457458	0.256508352641523	4.189794614901	2.79207056776586e-05	0.00140304567751628
ENST00000261700.8	127.013948412489	1.31713120234847	0.345908278514512	3.80774697849048	0.000140238651718004	0.00517612168248838
ENST00000261918.9	56.7562240738399	4.23752503997934	0.548044669589061	7.73207965539881	1.0580370313662e-14	4.91267754403952e-12
ENST00000262244.6	1395.94602615011	1.1183120556406	0.209407000046238	5.34037570565297	9.27541534767455e-08	1.01574548448874e-05
ENST00000262424.10	1368.17555689739	4.43581994360241	0.68460597211802	6.47937664037454	9.21023323712633e-11	2.11707697854579e-08
ENST00000262461.7	234.939570410176	-2.11005990628204	0.316187932655027	-6.67343591693675	2.49882725642237e-11	6.82503218648257e-09
ENST00000263314.3	14.1412938893959	-3.65580190766148	0.912629523321032	-4.00578965970564	6.18106355641628e-05	0.00270064162161373
ENST00000263339.4	274.424603804322	4.60650317027922	0.352845456935231	13.0552996495709	5.92763419342642e-39	4.58719851448626e-35
ENST00000263341.7	53.4554558027567	4.94877233291684	0.675281703651774	7.32845611861683	2.32819167621348e-13	9.00854965916202e-11
ENST00000263372.5	678.715303234906	1.20863026372176	0.237082335197717	5.09793470151964	3.43379217312733e-07	3.30783896644499e-05
